Date,Model,N,R2,Alpha Monthly,Alpha Annualized,Alpha t-stat,MKT_RF,MKT_RF t-stat,SMB,SMB t-stat,HML,HML t-stat,RMW,RMW t-stat,CMA,CMA t-stat,MOM,MOM t-stat
2014-02-28,Carhart4,36,0.8107453689646704,0.0014351782672785574,0.017358734271347043,0.5217496977760798,1.0184769779179754,14.387333232720957,-0.10668879327527303,-0.48146217451305934,0.04111487251472784,0.30504309594252194,,,,,0.3925585579313706,3.51224175153851
2014-03-31,Carhart4,36,0.8044776773577698,0.0003678664050168458,0.004423339316931285,0.13961923227865272,1.0406523258023435,11.63545102555756,-0.015564953262600323,-0.058740331609465776,-0.17388245185225326,-0.8180838898226548,,,,,0.44482107873313215,3.7569938456529908
2014-04-30,Carhart4,36,0.8102490143521215,0.0005588380818657877,0.0067267072263546,0.19968595073930678,1.0520790204415396,11.718242687068415,-0.02065879578120744,-0.0900923313065289,-0.21477442239620875,-0.9240303146201826,,,,,0.44448881049288314,3.7317999289427197
2014-05-31,Carhart4,36,0.8100135901871451,-5.870259289532972e-05,-0.0007042037236101306,-0.018991166531194353,1.0964178253286936,11.829838762772848,-0.11919949185831857,-0.5459235703556186,-0.16820068341239874,-0.6361394220500063,,,,,0.4871418999902769,4.034744553628719
2014-06-30,Carhart4,36,0.8093595110537516,-0.0005789911612274459,-0.006925811349719813,-0.18928759766245937,1.1053467703345965,11.853822211272291,-0.14914902120857226,-0.7240203497758829,-0.16345221065296772,-0.6305561837427028,,,,,0.4842439607860092,4.063644752806421
2014-07-31,Carhart4,36,0.802198114556261,0.0003562596882784755,0.004283502998743582,0.11419978022807299,1.0996287622190815,11.913793457138276,-0.20481292633390785,-1.028084732019678,-0.18747897807971384,-0.7027799672259989,,,,,0.4756238717826293,3.7203171221714704
2014-08-31,Carhart4,36,0.7843183846267474,0.0009316483530912084,0.01123724444286589,0.293308971264575,1.0871822634335062,12.18392677296711,-0.2178070442489565,-1.0965018527364048,-0.22028749137804507,-0.8117327352864476,,,,,0.46286820736684253,3.649036436271029
2014-09-30,Carhart4,36,0.7218552986996853,0.0037817685663519623,0.046337140628963214,1.371996883923764,1.0144413495351605,8.816439393436838,-0.2753348781063185,-1.487148171336896,-0.3363069006543854,-1.3460830168947318,,,,,0.37542755602567957,2.7831278632239984
2014-10-31,Carhart4,36,0.7193533100002087,0.0017375758961721032,0.021051334626562168,0.6297923663692845,1.1385091515393082,10.463232538901549,-0.3350730974690225,-1.6817261280397855,-0.3063994243854205,-1.2680501016234706,,,,,0.40957245723182,3.371602493244537
2014-11-30,Carhart4,36,0.7173421284786072,0.0017585492669320462,0.021307897082339933,0.6531354518249576,1.1184630556880075,11.005719256413233,-0.2962137386480196,-1.705771747143751,-0.24034190225105273,-1.0874855174205176,,,,,0.43564971400761826,3.2598415888528165
2014-12-31,Carhart4,36,0.7254888070202873,0.0015614370074078633,0.018898998205257644,0.593423959894917,1.1280220999838466,11.76355974918152,-0.31958100290374275,-1.9057161139411747,-0.24747794126518477,-1.1368915242295752,,,,,0.43840372329440885,3.1018353203340463
2015-01-31,Carhart4,36,0.7355659822396967,0.00155683931503505,0.018842872251854104,0.5042371760175908,1.1509829824153015,12.269614427434936,-0.28886700334180376,-1.5387683127708707,-0.27435645998031283,-1.1533960482093715,,,,,0.32102212870924973,1.678464934190183
2015-02-28,Carhart4,36,0.7430830627974633,0.0013119464577051637,0.015857455181429225,0.4499564732905387,1.0964375515193217,12.66818460101315,-0.2286153626689368,-1.1654849667296252,-0.26042170024632516,-1.2659929932048568,,,,,0.3250470676529833,1.8028680452270707
2015-03-31,Carhart4,36,0.7390277018299722,0.0016751424143695683,0.020287949756335744,0.6535383848927835,1.0781687019869413,12.352994491579311,-0.19707175838867583,-1.0408415450550053,-0.271109117089058,-1.288111180419768,,,,,0.31924103897089406,1.6472181449337808
2015-04-30,Carhart4,36,0.7488695930803176,0.0015301242324531803,0.018516806139381004,0.6353175887433288,1.075677277855066,13.53687603713691,-0.18874876208470676,-0.9658607321536036,-0.2859156811227941,-1.3146355226479318,,,,,0.27174898480004617,1.6018156103724506
2015-05-31,Carhart4,36,0.7125301260908271,0.0021162660679178887,0.025692874325590198,0.82601575590953,1.0398628328901127,12.02122991629142,-0.18312344551979884,-0.9563411023562374,-0.2762916318284707,-1.314601124281054,,,,,0.2787405741083715,1.830808748387255
2015-06-30,Carhart4,36,0.7321054605608075,0.002812719697650536,0.034279714928492355,1.2028623615930014,1.0511466878763511,14.155755252114345,-0.15800583418603553,-0.8036438586341407,-0.28306940206296094,-1.3064447245476638,,,,,0.2650123364115945,1.623215294575294
2015-07-31,Carhart4,36,0.7986999615458079,0.0035077682522298903,0.042914882752869365,1.3394488063270387,1.0744753838983514,16.23766608013775,-0.2932194969395556,-2.6358531707917687,-0.20784412608311442,-0.9363951385919218,,,,,0.3968905936612478,5.5481374987191
2015-08-31,Carhart4,36,0.8239766170518896,0.004316871500688096,0.053050264392971114,1.7021308652154161,1.003763378658621,12.29769572337975,-0.2838541917592334,-2.6290447148856533,-0.17131673395838845,-0.8133067793250576,,,,,0.4116989978029134,5.402548758991766
2015-09-30,Carhart4,36,0.8247473879141234,0.0035870630239185955,0.043904216166205545,1.480811038704062,1.0139771124290808,13.13030288209687,-0.25413775651667303,-2.339982124853746,-0.23972789371223127,-1.1549835557177162,,,,,0.3630062594367214,4.852031395387523
2015-10-31,Carhart4,36,0.837546911331134,0.0035184227334752647,0.04304776502403662,1.3988531290685058,1.0389258474167402,15.408392049370457,-0.26520657249673585,-2.4347086447325235,-0.27377345376147216,-1.1261731806985784,,,,,0.34200852747874166,4.200715012255215
2015-11-30,Carhart4,36,0.8353277838047977,0.00357601127189007,0.04376627570572955,1.3504978492002793,1.0363138043773255,16.005806191758214,-0.2338198380281381,-2.03352428351369,-0.25801715762040334,-1.0770347081173455,,,,,0.3573912522748105,4.401806301302364
2015-12-31,Carhart4,36,0.8315660992348938,0.003205901425069972,0.03915645363682807,1.2871443404680611,1.0464977539756384,17.48449235462421,-0.21792407772186378,-1.7609777655021766,-0.23515976139149686,-0.9696349553506163,,,,,0.35475568251793,4.757295465200174
2016-01-31,Carhart4,36,0.8528218599816622,0.002963426809385649,0.03614649076045673,1.129515516974045,1.0855700299069688,17.240721270806745,-0.1976772874703252,-1.549291761804513,-0.2653841233048863,-1.1478239887051827,,,,,0.33435766437059744,4.834819079541921
2016-02-29,Carhart4,36,0.8560362560175218,0.002715969929469859,0.03308292227382048,1.1306629930471972,1.093359392472854,17.490277947946456,-0.20626559576628414,-1.7047302353290008,-0.24056135138150414,-1.091314844388648,,,,,0.35633824903652456,6.423927950920093
2016-03-31,Carhart4,36,0.8638256791577053,0.0033906514759015436,0.04145522939214419,1.3874140619714581,1.1297757980138916,15.648018134489417,-0.19907868029067077,-1.5814389722745326,-0.22580223704160712,-0.9727327450792052,,,,,0.3489405901959886,6.7634930539224465
2016-04-30,Carhart4,36,0.8672747365380673,0.0030441733776395345,0.0371479509635233,1.3082413937213904,1.1276696841711171,15.498134926128017,-0.19202674199573277,-1.5055350328416988,-0.23887154802776156,-1.077412734185198,,,,,0.35137816684155687,6.99621693626591
2016-05-31,Carhart4,36,0.8697915292943907,0.002920563676050068,0.035615240511795765,1.19157027107683,1.122344791993369,14.480910333692677,-0.21421365441672463,-1.7138169030698267,-0.3144766247756121,-1.4498036493242707,,,,,0.3439943035773761,6.270481612013098
2016-06-30,Carhart4,36,0.8633056416095284,0.0028135517246779687,0.034290012595284525,1.1263732774043003,1.1178063367149058,14.626653766786315,-0.21080489298158178,-1.6649718572245606,-0.31390069172225815,-1.449330906005089,,,,,0.32774245140740543,6.053662518667587
2016-07-31,Carhart4,36,0.8192876428277918,0.004278738268627227,0.05257056130604609,1.4663099853840276,1.1107383666884532,14.867144164598677,-0.1411888074288422,-1.0938787681266124,-0.4626865462914881,-1.8549722975255527,,,,,0.2301888786177333,2.42827684294799
2016-08-31,Carhart4,36,0.8090732786891894,0.005587950203913167,0.06915513844957744,1.601372400947757,1.0858723564365151,13.83498302022829,-0.11495771694469556,-0.8272692808393224,-0.4592227433819448,-1.731489555701628,,,,,0.20790499024333844,1.9484169601149246
2016-09-30,Carhart4,36,0.8034492803313351,0.005805375160769982,0.0719324706553337,1.6778048730877273,1.0812644383292758,14.055190035996391,-0.1076666754887449,-0.7612813423813104,-0.46969319286983313,-1.8373582978832175,,,,,0.20367821987970525,1.9974966049263638
2016-10-31,Carhart4,36,0.7887453013723962,0.00650533690282906,0.08091858602738777,1.728397133226042,1.0973327898836411,12.651974102959386,-0.16031025942457006,-1.3629446973961536,-0.33844859933712934,-1.4910561610637107,,,,,0.2476898414032681,3.11276614729837
2016-11-30,Carhart4,36,0.7766334983928984,0.007344903090018567,0.09178800924773634,2.033194618033575,1.1575567224233856,14.833405361560173,-0.08259371408623084,-0.5709453385065504,-0.14015452914305734,-0.6685317769762466,,,,,0.30570362295083553,4.245280773953183
2016-12-31,Carhart4,36,0.773938243245784,0.007274385913182294,0.09087122089716226,2.010515021289238,1.1554254421703707,14.760351946396245,-0.08135036884080342,-0.5631690470693784,-0.1361800247925108,-0.6933493130885083,,,,,0.3067370414689375,4.343809146119022
2017-01-31,Carhart4,36,0.7806403914637627,0.005161853112456042,0.06373140166641833,1.4959279405803312,1.2081234541377037,18.000137730470467,-0.10962397956771537,-0.76993377864609,-0.037880538342039916,-0.216629346370696,,,,,0.3491434167873756,4.59444113253515
2017-02-28,Carhart4,36,0.7743578760624743,0.005553485605978619,0.06871550243156044,1.5923490285363342,1.2287520071736346,15.0311327480437,-0.12962419255776617,-0.9219358411715475,-0.04809942950784655,-0.28213612348863454,,,,,0.34399358266362356,4.78197023646276
2017-03-31,Carhart4,36,0.8022099587011305,0.006357751332810921,0.07901815624364894,2.2356586032886456,1.2526045525755936,16.915632509893136,-0.1883311479889412,-1.4394766807409187,0.09220248456403901,0.8480708968380378,,,,,0.3604183057566435,5.079484872527431
2017-04-30,Carhart4,36,0.8011420861842825,0.006490873360924112,0.0807322063814655,2.3554920327516786,1.2505818023232618,17.085701373779916,-0.24168432258294908,-1.6634482970074609,0.12439417650534607,1.082193778316761,,,,,0.3397662534318405,4.77728321774136
2017-05-31,Carhart4,36,0.8040999323574309,0.006212169491664064,0.07714652926646326,2.2647853799610296,1.2301575718641593,16.489596391174377,-0.2239603622554186,-1.6638223214631835,0.09066632587934417,0.846545422570714,,,,,0.3236020374725242,4.5125554761805216
2017-06-30,Carhart4,36,0.8058988825047858,0.00627445713003116,0.0779469460750053,2.2580964444150244,1.2342386617368746,16.286630646211446,-0.21541385121126966,-1.594462342974421,0.081788063529563,0.7446881023736699,,,,,0.32515675135339067,4.6415515226849315
2017-07-31,Carhart4,36,0.8065545926002422,0.0063043097094022905,0.07833075485764107,2.2969338794563767,1.2551341515580712,15.404210392945679,-0.2140657080199205,-1.5284236630399908,0.0926546614110407,0.8442348349458513,,,,,0.3422878097579246,4.965944826536289
2017-08-31,Carhart4,36,0.8043612076619802,0.006425219112443146,0.07988654494306324,2.370140248564275,1.2700217333129449,14.905430811688856,-0.21470359571259282,-1.522675673135936,0.09792062672385396,0.89967112252273,,,,,0.34913933185257306,5.260743854898466
2017-09-30,Carhart4,36,0.8074576455345852,0.00558442049537395,0.06911010529459483,1.9482496568573693,1.280691966719072,14.601663537931367,-0.20778524032264378,-1.6732201893306948,0.09459492208267861,0.8452786678613313,,,,,0.35455034102922955,5.382646464698073
2017-10-31,Carhart4,36,0.8301230875911745,0.006664810192614872,0.08297554010445563,2.462498733450394,1.3089732408286092,13.658816352523775,-0.16290437171287442,-1.3908961377682878,0.07538141024973397,0.7074180223415033,,,,,0.38043035235510225,5.408076450816604
2017-11-30,Carhart4,36,0.8244388300653313,0.0064838202696501,0.08064132974083749,2.4291563240806155,1.2994662574513864,14.025281350596899,-0.16142595129174295,-1.4044972683914303,0.0627325159817077,0.5663122771952427,,,,,0.3790370992869193,5.273296454012031
2017-12-31,Carhart4,36,0.8230193517320071,0.006476910009801929,0.08055230022725302,2.525229644492626,1.296243287858419,14.632232069546832,-0.11652081930275215,-1.037177044430457,0.08527685127961285,0.8168218141465722,,,,,0.40923529131716474,5.446256735347498
2018-01-31,Carhart4,36,0.831473732142833,0.006797204246293445,0.08468593997779084,2.38402766502674,1.3837475652324165,10.154764634403882,-0.1804337904481842,-1.4435510777699025,0.1231463604565286,1.0519612158101062,,,,,0.4710478856980555,4.3717921296067495
2018-02-28,Carhart4,36,0.7996017237382449,0.009027980712909302,0.11388027809302415,3.251999636848658,1.3334586541294349,13.368155389361595,-0.1375415700574592,-1.2078049381917078,0.07144010644856266,0.5954761865085864,,,,,0.47452756981815675,3.7012112163030206
2018-03-31,Carhart4,36,0.8068222804642299,0.009158887650568461,0.11561563627249005,3.4183712445674557,1.329657935780261,14.205920881292894,-0.13119670400364425,-1.1972961552682737,0.06775936699331464,0.5975670698549908,,,,,0.47389446945056085,3.7709119685328547
2018-04-30,Carhart4,36,0.8038576535892901,0.009129068469018481,0.11522012266536508,3.3509928512052305,1.331166244913239,13.857603617344623,-0.12089157313546858,-1.056202918250594,0.06793006791127497,0.6058004478902261,,,,,0.48302992840260256,3.2516157297372663
2018-05-31,Carhart4,36,0.8230871926257685,0.009626802319279981,0.12183879352511262,3.552673017785426,1.3572649362751998,15.593648404865613,-0.05525236763107816,-0.6704681137781514,0.06768309740724973,0.6946793388933811,,,,,0.5597749451890373,3.9483209973679307
2018-06-30,Carhart4,36,0.823421750709778,0.009576590787664206,0.12116947089551444,3.6797328705576735,1.3570388026467333,15.246317162090238,-0.04536514259338495,-0.5066855439571929,0.07761195729179302,0.9071909676008038,,,,,0.5748984042363001,4.174203212803274
2018-07-31,Carhart4,36,0.7961330949680577,0.008875417596332596,0.111860958867527,3.5540355981329745,1.3367473916363437,13.911385765878016,-0.00040195072681159516,-0.004001937920856701,0.06367641829023193,0.7250891145982493,,,,,0.6062329988341653,3.2986257590346098
2018-08-31,Carhart4,36,0.806258969219936,0.006694198960301111,0.08335500020498343,2.437656590145013,1.4295298306911306,20.868329039893673,-0.0019546541724237976,-0.02097764520505519,0.051815264079500864,0.594329772757151,,,,,0.6459627387176871,4.195197049897465
2018-09-30,Carhart4,36,0.8059136498783708,0.007442280660116979,0.09305516856497542,2.8941369450387073,1.4135191712101056,19.6280657110267,-0.018393082715688958,-0.20694399107266243,0.07907195376363291,0.8547263137406066,,,,,0.6757277894705347,4.016978602366705
2018-10-31,Carhart4,36,0.8537618863611731,0.004892001993911798,0.06030955701488905,1.378738053424196,1.5561947243679723,14.955570335009206,0.03251559681586563,0.30075284177858014,0.029818816283166412,0.3176867326640591,,,,,0.7125890632309575,4.271485435836913
2018-11-30,Carhart4,36,0.8524639914262593,0.0046340114712368164,0.05704754816252766,1.2564483294286741,1.552306038705742,15.0168235289575,0.03873050602971245,0.32668952285609404,0.029087420607697576,0.3065892900865645,,,,,0.7177332589281556,4.171862623551649
2018-12-31,Carhart4,36,0.8474919413560575,0.007113368714200975,0.08878049349210748,2.2306842536898337,1.4073146802044119,15.19085334058111,0.05509031730237536,0.4333047280367792,-0.026104938065984434,-0.18531229351682724,,,,,0.7050560381522435,3.731913671998768
2019-01-31,Carhart4,36,0.8323852562371078,0.007172355957920448,0.08954598649927892,2.04394130831031,1.4721637480775907,17.838401707573144,0.05499014223023618,0.41314877874923456,-0.11645010989487305,-0.6015218350388413,,,,,0.5590473370626711,3.278587449942982
2019-02-28,Carhart4,36,0.8256759129013354,0.006855501191605544,0.08543986363044986,1.9628712177381271,1.461641101859322,16.64180078097628,0.03810261613177371,0.2857950081495242,-0.09639443602572874,-0.5258641448336734,,,,,0.5496454601770314,2.8516103265900616
2019-03-31,Carhart4,36,0.8211250774288976,0.00676465166537145,0.08426516350017832,1.9756026576700434,1.469185423983979,15.363574635885266,0.04231143261046785,0.3107692133751071,-0.08634107808560416,-0.49492994922922023,,,,,0.5413265418514666,2.6854501308655507
2019-04-30,Carhart4,36,0.8119254386209311,0.006511964139376581,0.08100399556061433,1.8469288802056067,1.4411860900529145,14.5399663422042,0.07648311540612236,0.5709154825964944,-0.10918239771262071,-0.5927246238250389,,,,,0.54415246272136,2.4322312488990727
2019-05-31,Carhart4,36,0.8155981954559384,0.006844491712429867,0.08529744706034692,1.9672779115045498,1.4120538394375197,13.850623191829655,0.09185334039914204,0.6643912351636909,-0.1045877773494817,-0.5622018541381667,,,,,0.569527640873792,2.764669266880239
2019-06-30,Carhart4,36,0.826542494370685,0.007429645780724432,0.0928906767477049,1.9514583520971487,1.3911633585160372,13.948840414117381,0.12456001817465359,0.8941549982430219,-0.0948290124724546,-0.5101946365536735,,,,,0.6230288033638275,3.1136218091473467
2019-07-31,Carhart4,36,0.8377252937443889,0.005541916058257199,0.06856795655434267,1.7175477216593005,1.3736409124858944,14.289708256328783,0.09894178295888506,0.7120087218364842,-0.061767223254214715,-0.29118033888516864,,,,,0.6517242988652354,3.102297123374871
2019-08-31,Carhart4,36,0.8411396117147515,0.004828663389088209,0.05950785592256036,1.5023908671654715,1.3836197854870533,14.54384019125362,0.0900336948419751,0.690212792225619,-0.08048787722449376,-0.36897751123717537,,,,,0.6724753127483393,3.291899630708019
2019-09-30,Carhart4,36,0.8444072072920724,0.004767152395255201,0.05872981947714617,1.6270077320777359,1.385700032412927,14.270652169486077,0.07866594106589875,0.5793622536605824,-0.06800121564560395,-0.3207036286019021,,,,,0.668846332321435,3.317811528476739
2019-10-31,Carhart4,36,0.8337846999739505,0.0027210247225336265,0.03314541851803887,0.9463912037722451,1.3830419881958893,13.119320353964717,0.12894003791905168,0.882573937156955,-0.11144844352357956,-0.5120110156582938,,,,,0.6600219071300978,3.050007969948063
2019-11-30,Carhart4,36,0.828901931081163,0.0010745478780833234,0.012971055266091991,0.36031253172380834,1.3691770833505337,14.093009000921725,0.06646319548268251,0.4711172590199524,-0.14944633652525277,-0.6651055477102462,,,,,0.668539723764177,3.0333590525253
2019-12-31,Carhart4,36,0.8278338986063549,0.0013205970178276115,0.015962774850379224,0.45619027456714806,1.3699185258221598,13.769028743934479,0.071033430699695,0.5064465594294358,-0.14967197897829496,-0.5997501128489117,,,,,0.662231506183506,2.911219887658894
2020-01-31,Carhart4,36,0.8320698182892325,0.001580059342349715,0.01912635782441008,0.544435723245245,1.3684208310372308,13.788944226559854,0.06081929881258363,0.44562402805536666,-0.17799364823897637,-0.6870622664021452,,,,,0.639483780885553,2.7814756401193788
